Artist,Primary Artist 1,Primary Artist 2,Primary Artist 3,Primary Artist 4,Primary Artist 5,Primary Artist 6,Primary Artist 7,Primary Artist 8,Secondary Artist 1,Secondary Artist 2,Secondary Artist 3,Secondary Artist 4,Secondary Artist 5,Secondary Artist 6,Secondary Artist 7,Secondary Artist 8,Secondary Artist 9,Highlight Red
Ace Of Base,Ace Of Base,,,,,,,,,,,,,,,,,False
Ace Spectrum,Ace Spectrum,,,,,,,,,,,,,,,,,False
Acraze Featuring Cherish,Acraze,,,,,,,,Cherish,,,,,,,,,False
Action Bronson Featuring Chance The Rapper,Action Bronson,,,,,,,,Chance The Rapper,,,,,,,,,False
Adam Ant,Adam Ant,,,,,,,,,,,,,,,,,False
Adam Clayton & Larry Mullen,Adam Clayton,Larry Mullen,,,,,,,,,,,,,,,,False
Adam Faith,Adam Faith,,,,,,,,,,,,,,,,,False
Adam Faith With The Roulettes,Adam Faith With The Roulettes,,,,,,,,,,,,,,,,,False
Adam Lambert,Adam Lambert,,,,,,,,,,,,,,,,,False
Adam Levine & Javier Colon,Adam Levine,Javier Colon,,,,,,,,,,,,,,,,False
Adam Levine & Tony Lucca,Adam Levine,Tony Lucca,,,,,,,,,,,,,,,,False
Adam Sandler,Adam Sandler,,,,,,,,,,,,,,,,,False
Adam Wade,Adam Wade,,,,,,,,,,,,,,,,,False
Adam Wakefield,Adam Wakefield,,,,,,,,,,,,,,,,,False
Addison Rae,Addison Rae,,,,,,,,,,,,,,,,,False
Addrisi Brothers,Addrisi Brothers,,,,,,,,,,,,,,,,,False
Adele,Adele,,,,,,,,,,,,,,,,,False
Adele With Erroll Garner,Adele,Erroll Garner,,,,,,,,,,,,,,,,False
Adina Howard,Adina Howard,,,,,,,,,,,,,,,,,False
Adrian Belew,Adrian Belew,,,,,,,,,,,,,,,,,False
Adrian Kimberly,Adrian Kimberly,,,,,,,,,,,,,,,,,False
Aerosmith,Aerosmith,,,,,,,,,,,,,,,,,False
Afrika Bambaataa & The Soul Sonic Force,Afrika Bambaataa & The Soul Sonic Force,,,,,,,,,,,,,,,,,False
Afrique,Afrique,,,,,,,,,,,,,,,,,False
Afrojack Featuring Chris Brown,Afrojack,,,,,,,,Chris Brown,,,,,,,,,False
Afrojack Featuring Eva Simons,Afrojack,,,,,,,,Eva Simons,,,,,,,,,False
Afrojack Featuring Wrabel,Afrojack,,,,,,,,Wrabel,,,,,,,,,False
Afroman,Afroman,,,,,,,,,,,,,,,,,False
After 7,After 7,,,,,,,,,,,,,,,,,False
After The Fire,After The Fire,,,,,,,,,,,,,,,,,False
Aftershock,Aftershock,,,,,,,,,,,,,,,,,False
Agnetha Faltskog,Agnetha Faltskog,,,,,,,,,,,,,,,,,False
Agnetha Faltskog/Peter Cetera,Agnetha Faltskog/Peter Cetera,,,,,,,,,,,,,,,,,False
Agust D,Agust D,,,,,,,,,,,,,,,,,False
Ahmad,Ahmad,,,,,,,,,,,,,,,,,False
Aimee Mann,Aimee Mann,,,,,,,,,,,,,,,,,False
Air Supply,Air Supply,,,,,,,,,,,,,,,,,False
Airwaves,Airwaves,,,,,,,,,,,,,,,,,False
Akon,Akon,,,,,,,,,,,,,,,,,False
Akon Featuring Colby O'Donis & Kardinal Offishall,Akon,,,,,,,,Colby O'Donis,Kardinal Offishall,,,,,,,,False
Akon Featuring Eminem,Akon,,,,,,,,Eminem,,,,,,,,,False
Akon Featuring Lil Wayne & Young Jeezy,Akon,,,,,,,,Lil Wayne,Young Jeezy,,,,,,,,False
Akon Featuring Snoop Dogg,Akon,,,,,,,,Snoop Dogg,,,,,,,,,False
Akon Featuring Styles P.,Akon,,,,,,,,Styles P.,,,,,,,,,False
Akon Featuring Sweet Rush,Akon,,,,,,,,Sweet Rush,,,,,,,,,False
Al (He's the King) Hirt,Al (He's the King) Hirt,,,,,,,,,,,,,,,,,True
